Date,Price,Open,High,Low,Vol.,Change %
28/07/2017,"23,931","23,575","23,931","23,575",1.03M,1.51%
27/07/2017,"23,575","23,694","23,812","23,481",831.60K,-0.50%
26/07/2017,"23,694","23,362","23,931","23,362",875.64K,1.42%
25/07/2017,"23,362","23,220","23,410","23,173",879.40K,1.02%
24/07/2017,"23,125","22,983","23,386","22,983",1.34M,0.62%
21/07/2017,"22,983","23,812","23,931","22,865",2.98M,-3.48%
20/07/2017,"23,812","24,168","24,168","23,694",1.69M,-1.57%
19/07/2017,"24,191","24,215","24,263","24,049",781.72K,-0.10%
18/07/2017,"24,215","24,286","24,357","24,049",625.44K,-0.97%
17/07/2017,"24,452","24,168","24,855","24,168",2.27M,1.18%
14/07/2017,"24,168","24,286","24,310","24,168",600.92K,-0.58%
13/07/2017,"24,310","24,381","24,381","24,073",649.88K,0.10%
12/7/2017,"24,286","24,049","24,310","23,931",805.32K,0.99%
11/7/2017,"24,049","24,049","24,168","23,812",1.13M,0.00%
10/7/2017,"24,049","24,405","24,405","23,694",1.27M,-1.46%
7/7/2017,"24,405","24,310","24,499","24,310",1.41M,0.29%
6/7/2017,"24,334","24,334","24,405","24,168",1.43M,0.00%
5/7/2017,"24,334","24,523","24,642","24,334",988.92K,-0.77%
4/7/2017,"24,523","24,239","24,760","24,215",1.33M,0.68%
3/7/2017,"24,357","24,381","24,713","24,286",2.22M,-0.10%
30/06/2017,"24,381","24,144","24,642","24,120",2.08M,1.88%
29/06/2017,"23,931","23,812","24,168","23,718",1.62M,0.50%
28/06/2017,"23,812","23,694","23,931","23,457",4.44M,-0.79%
27/06/2017,"24,002","24,405","24,405","23,931",1.09M,-1.65%
26/06/2017,"24,405","24,642","24,642","24,144",1.29M,0.10%
23/06/2017,"24,381","24,405","24,973","23,978",2.39M,1.88%
22/06/2017,"23,931","23,149","23,931","23,149",1.59M,3.38%
21/06/2017,"23,149","23,102","23,196","22,888",1.26M,0.72%
20/06/2017,"22,983","22,557","23,220","22,533",1.68M,2.00%
19/06/2017,"22,533","22,509","22,604","22,462",687.08K,-0.11%
16/06/2017,"22,557","22,746","22,746","22,509",706.92K,-0.52%
15/06/2017,"22,675","22,628","22,817","22,604",667.16K,0.21%
14/06/2017,"22,628","22,509","22,628","22,391",860.40K,0.53%
13/06/2017,"22,509","22,746","22,912","22,462",913.28K,-1.56%
12/6/2017,"22,865","23,054","23,149","22,817",481.84K,-0.82%
9/6/2017,"23,054","23,220","23,386","22,983",558.44K,-0.71%
