Date,Price,Open,High,Low,Vol.,Change %
4/11/2016,"4,707.00","4,695.10","4,730.80","4,683.20",12.33M,0.76%
3/11/2016,"4,671.30","4,695.10","4,695.10","4,617.80",27.70M,-0.51%
2/11/2016,"4,695.10","4,802.10","4,802.10","4,695.10",22.77M,-2.23%
1/11/2016,"4,802.10","4,814.00","4,891.20","4,802.10",12.32M,-0.86%
31/10/2016,"4,843.70","4,885.30","4,885.30","4,778.30",17.97M,-0.12%
28/10/2016,"4,849.60","4,701.00","4,885.30","4,701.00",27.69M,3.16%
27/10/2016,"4,701.00","4,707.00","4,724.80","4,665.40",13.24M,0.00%
26/10/2016,"4,701.00","4,707.00","4,748.60","4,641.60",20.68M,-0.13%
25/10/2016,"4,707.00","4,778.30","4,790.20","4,665.40",27.35M,-1.49%
24/10/2016,"4,778.30","4,873.40","4,897.20","4,778.30",23.32M,-1.95%
21/10/2016,"4,873.40","4,885.30","4,920.90","4,861.50",17.98M,-0.36%
20/10/2016,"4,891.20","4,920.90","4,944.70","4,861.50",12.94M,-0.24%
19/10/2016,"4,903.10","4,873.40","4,980.40","4,843.70",29.38M,1.35%
18/10/2016,"4,837.70","4,707.00","4,843.70","4,707.00",31.91M,2.26%
17/10/2016,"4,730.80","4,778.30","4,849.60","4,730.80",22.10M,-1.49%
14/10/2016,"4,802.10","4,873.40","4,956.60","4,802.10",35.45M,-2.18%
13/10/2016,"4,909.10","4,778.30","4,938.80","4,718.90",38.38M,1.23%
12/10/2016,"4,849.60","5,016.00","5,063.60","4,825.80",50.97M,-2.63%
11/10/2016,"4,980.40","4,671.30","4,980.40","4,671.30",71.47M,6.89%
10/10/2016,"4,659.40","4,873.40","4,885.30","4,659.40",48.09M,-4.62%
7/10/2016,"4,885.30","5,099.20","5,146.80","4,814.00",98.02M,-4.20%
6/10/2016,"5,099.20","5,170.60","5,194.30","5,057.60",45.74M,-1.61%
5/10/2016,"5,182.40","5,230.00","5,253.80","5,176.50",40.48M,-0.80%
4/10/2016,"5,224.00","5,253.80","5,325.10","5,123.00",102.09M,-1.24%
3/10/2016,"5,289.40","5,432.00","5,467.70","5,289.40",54.28M,-2.63%
30/09/2016,"5,432.00","5,473.70","5,527.10","5,420.20",57.19M,-1.51%
29/09/2016,"5,515.30","5,550.90","5,586.60","5,491.50",27.93M,-0.64%
28/09/2016,"5,550.90","5,527.10","5,586.60","5,497.40",26.98M,0.97%
27/09/2016,"5,497.40","5,455.80","5,509.30","5,443.90",28.14M,0.65%
26/09/2016,"5,461.80","5,443.90","5,497.40","5,366.70",23.30M,0.11%
23/09/2016,"5,455.80","5,491.50","5,515.30","5,455.80",24.85M,-0.65%
22/09/2016,"5,491.50","5,479.60","5,550.90","5,432.00",34.94M,1.32%
21/09/2016,"5,420.20","5,396.40","5,491.50","5,348.80",24.29M,0.33%
20/09/2016,"5,402.30","5,384.50","5,432.00","5,342.90",24.55M,-0.33%
19/09/2016,"5,420.20","5,348.80","5,461.80","5,337.00",34.95M,2.47%
16/09/2016,"5,289.40","5,253.80","5,313.20","5,235.90",73.17M,0.68%
15/09/2016,"5,253.80","5,158.70","5,289.40","5,158.70",24.47M,1.38%
14/09/2016,"5,182.40","5,152.70","5,224.00","5,152.70",11.62M,-0.23%
13/09/2016,"5,194.30","5,111.10","5,241.90","5,111.10",27.65M,1.63%
12/9/2016,"5,111.10","5,212.20","5,218.10","5,105.20",26.02M,-2.93%
9/9/2016,"5,265.60","5,337.00","5,348.80","5,241.90",24.14M,-1.34%
8/9/2016,"5,337.00","5,230.00","5,372.60","5,182.40",44.92M,2.05%
