Date,Price,Open,High,Low,Vol.,Change %
22/12/2011,"4,257.70","4,257.70","4,274.90","4,214.70",1.41M,0.00%
21/12/2011,"4,257.70","4,257.70","4,266.30","4,240.50",644.23K,0.00%
20/12/2011,"4,257.70","4,128.70","4,266.30","4,128.70",1.18M,0.00%
19/12/2011,"4,257.70","4,214.70","4,257.70","4,214.70",975.67K,1.02%
16/12/2011,"4,214.70","4,145.90","4,257.70","4,145.90",1.24M,0.82%
15/12/2011,"4,180.30","4,180.30","4,206.10","4,171.70",675.28K,-0.82%
14/12/2011,"4,214.70","4,231.90","4,249.10","4,214.70",1.56M,-0.81%
13/12/2011,"4,249.10","4,231.90","4,266.30","4,231.90",1.76M,-0.20%
12/12/2011,"4,257.70","4,231.90","4,274.90","4,231.90",1.69M,0.00%
9/12/2011,"4,257.70","4,343.70","4,343.70","4,257.70",533.00K,-0.60%
8/12/2011,"4,283.50","4,300.70","4,343.70","4,283.50",326.00K,-0.40%
7/12/2011,"4,300.70","4,300.70","4,343.70","4,283.50",1.65M,0.00%
6/12/2011,"4,300.70","4,343.70","4,343.70","4,266.30",2.07M,0.00%
5/12/2011,"4,300.70","4,249.10","4,300.70","4,240.50",3.09M,1.42%
2/12/2011,"4,240.50","4,231.90","4,274.90","4,223.30",3.11M,0.20%
1/12/2011,"4,231.90","4,171.70","4,231.90","4,171.70",1.06M,0.20%
30/11/2011,"4,223.30","4,197.50","4,231.90","4,197.50",2.51M,0.61%
29/11/2011,"4,197.50","4,214.70","4,214.70","4,188.90",1.24M,0.00%
28/11/2011,"4,197.50","4,206.10","4,214.70","4,197.50",1.01M,-0.41%
25/11/2011,"4,214.70","4,188.90","4,223.30","4,188.90",1.59M,-0.20%
24/11/2011,"4,223.30","4,154.50","4,231.90","4,154.50",1.38M,0.00%
23/11/2011,"4,223.30","4,154.50","4,223.30","4,154.50",2.13M,1.03%
22/11/2011,"4,180.30","4,137.30","4,197.50","4,128.70",1.32M,0.83%
21/11/2011,"4,145.90","4,120.10","4,145.90","4,120.10",682.03K,0.00%
18/11/2011,"4,145.90","4,171.70","4,171.70","4,111.50",534.23K,0.00%
17/11/2011,"4,145.90","4,128.70","4,145.90","4,102.90",1.73M,0.42%
16/11/2011,"4,128.70","4,068.50","4,128.70","4,068.50",1.27M,1.05%
15/11/2011,"4,085.70","4,128.70","4,137.30","4,085.70",1.98M,-1.04%
14/11/2011,"4,128.70","4,120.10","4,171.70","4,120.10",865.31K,-1.23%
11/11/2011,"4,180.30","4,188.90","4,206.10","4,180.30",1.64M,-0.41%
10/11/2011,"4,197.50","4,180.30","4,197.50","4,171.70",1.25M,0.00%
9/11/2011,"4,197.50","4,249.10","4,249.10","4,197.50",816.77K,-0.41%
8/11/2011,"4,214.70","4,283.50","4,283.50","4,197.50",781.80K,-1.61%
7/11/2011,"4,283.50","4,292.10","4,300.70","4,257.70",2.20M,-0.20%
4/11/2011,"4,292.10","4,240.50","4,300.70","4,240.50",2.61M,1.22%
3/11/2011,"4,240.50","4,274.90","4,274.90","4,214.70",1.71M,-0.80%
2/11/2011,"4,274.90","4,223.30","4,292.10","4,214.70",2.25M,1.22%
1/11/2011,"4,223.30","4,266.30","4,266.30","4,223.30",1.27M,-0.81%
31/10/2011,"4,257.70","4,386.70","4,386.70","4,257.70",2.97M,-1.00%
28/10/2011,"4,300.70","4,214.70","4,300.70","4,171.70",2.14M,3.09%
27/10/2011,"4,171.70","4,128.70","4,180.30","4,128.70",1.75M,0.00%
26/10/2011,"4,171.70","4,085.70","4,240.50","4,085.70",2.00M,1.68%
25/10/2011,"4,102.90","4,137.30","4,145.90","4,102.90",1.76M,-1.24%
24/10/2011,"4,154.50","4,266.30","4,266.30","4,154.50",1.61M,-2.62%
21/10/2011,"4,266.30","4,180.30","4,266.30","4,171.70",3.18M,1.85%
20/10/2011,"4,188.90","4,171.70","4,206.10","4,171.70",1.34M,-0.20%
19/10/2011,"4,197.50","4,223.30","4,223.30","4,188.90",2.02M,-0.41%
18/10/2011,"4,214.70","4,223.30","4,231.90","4,206.10",1.15M,-0.61%
17/10/2011,"4,240.50","4,249.10","4,274.90","4,240.50",2.22M,-1.40%
14/10/2011,"4,300.70","4,257.70","4,300.70","4,257.70",1.15M,1.21%
13/10/2011,"4,249.10","4,180.30","4,249.10","4,180.30",1.32M,1.02%
12/10/2011,"4,206.10","4,206.10","4,223.30","4,197.50",1.62M,-0.41%
11/10/2011,"4,223.30","4,214.70","4,257.70","4,206.10",1.08M,0.20%
10/10/2011,"4,214.70","4,180.30","4,223.30","4,180.30",1.75M,-1.01%
7/10/2011,"4,257.70","4,292.10","4,292.10","4,240.50",2.43M,-1.00%
6/10/2011,"4,300.70","4,300.70","4,343.70","4,266.30",3.95M,-0.99%
5/10/2011,"4,343.70","4,386.70","4,386.70","4,300.70",4.48M,-0.98%
4/10/2011,"4,386.70","4,300.70","4,386.70","4,300.70",1.33M,0.00%
3/10/2011,"4,386.70","4,429.70","4,429.70","4,386.70",1.27M,-0.97%
30/09/2011,"4,429.70","4,429.70","4,472.70","4,386.70",2.20M,0.00%
29/09/2011,"4,429.70","4,429.70","4,472.70","4,386.70",1.25M,0.00%
28/09/2011,"4,429.70","4,429.70","4,472.70","4,386.70",888.24K,0.98%
27/09/2011,"4,386.70","4,429.70","4,472.70","4,386.70",2.16M,0.99%
26/09/2011,"4,343.70","4,385.90","4,428.10","4,343.70",2.13M,-1.90%
23/09/2011,"4,428.10","4,428.10","4,470.20","4,385.90",1.14M,-1.87%
22/09/2011,"4,512.40","4,470.20","4,554.60","4,428.10",1.76M,0.00%
21/09/2011,"4,512.40","4,512.40","4,554.60","4,470.20",3.79M,0.94%
20/09/2011,"4,470.20","4,554.60","4,596.80","4,470.20",3.92M,-1.85%
19/09/2011,"4,554.60","4,343.70","4,554.60","4,343.70",2.39M,4.85%
16/09/2011,"4,343.70","4,470.20","4,681.10","4,343.70",10.12M,-2.83%
15/09/2011,"4,470.20","4,428.10","4,470.20","4,385.90",8.41M,4.95%
14/09/2011,"4,259.40","4,385.90","4,385.90","4,259.40",4.36M,-3.81%
13/09/2011,"4,428.10","4,596.80","4,596.80","4,428.10",6.15M,-1.87%
12/9/2011,"4,512.40","4,554.60","4,596.80","4,470.20",1.85M,-2.73%
9/9/2011,"4,638.90","4,723.30","4,723.30","4,596.80",2.21M,-1.79%
8/9/2011,"4,723.30","4,723.30","4,765.40","4,681.10",1.26M,0.90%
7/9/2011,"4,681.10","4,723.30","4,723.30","4,638.90",1.56M,-0.89%
